Datetime,elevation,NWM_segment,latitude,longitude,order,NWM_flow,NWM_velocity
1980-10-01,4452.826,221756009.77043608,1203.3689,-2931.2795,211.88799727596603,116.67082589228256,10.550256295215863
1980-10-02,4452.826,221756009.77043608,1203.3689,-2931.2795,211.88799727596603,162.09431429302367,11.830412916811095
1980-10-03,4452.826,221756009.77043608,1203.3689,-2931.2795,211.88799727596603,180.0017925514305,12.271846234602554
1980-10-04,4452.826,221756009.77043608,1203.3689,-2931.2795,211.88799727596603,149.67532361915727,11.521409594357074
1980-10-05,4452.826,221756009.77043608,1203.3689,-2931.2795,211.88799727596603,119.46657023829512,10.623828514847776
1980-10-06,4452.826,221756009.77043608,1203.3689,-2931.2795,211.88799727596603,103.89868856418302,10.123537421350788
1980-10-07,4452.826,221756009.77043608,1203.3689,-2931.2795,211.88799727596603,97.58619211976516,9.888106318528676
1980-10-08,4452.826,221756009.77043608,1203.3689,-2931.2795,211.88799727596603,93.9517244699488,9.873391874602294
1980-10-09,4452.826,221756009.77043608,1203.3689,-2931.2795,211.88799727596603,91.33255345105282,9.53495966429551
1980-10-10,4452.826,221756009.77043608,1203.3689,-2931.2795,211.88799727596603,89.1401013060219,9.53495966429551
1980-10-11,4452.826,221756009.77043608,1203.3689,-2931.2795,211.88799727596603,87.66865691338371,9.53495966429551
1980-10-12,4452.826,221756009.77043608,1203.3689,-2931.2795,211.88799727596603,86.74164694602165,9.53495966429551
1980-10-13,4452.826,221756009.77043608,1203.3689,-2931.2795,211.88799727596603,86.0500680814817,9.53495966429551
1980-10-14,4452.826,221756009.77043608,1203.3689,-2931.2795,211.88799727596603,85.54977698798471,9.53495966429551
1980-10-15,4452.826,221756009.77043608,1203.3689,-2931.2795,211.88799727596603,84.9906281187822,9.53495966429551
1980-10-16,4452.826,221756009.77043608,1203.3689,-2931.2795,211.88799727596603,84.53448035706435,9.53495966429551
1980-10-17,4452.826,221756009.77043608,1203.3689,-2931.2795,211.88799727596603,83.99004593178823,9.53495966429551
